GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
6001,2000,Alameda County,California,1443741,11.04,237089,45.3,852,55946,303100,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,3463,3375,1.42,1.46,1,0,0
6001,2001,Alameda County,California,1443741,11.04,238770,45.3,852,55946,303100,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,4381,2905,1.22,1.83,1,0,0
6001,2002,Alameda County,California,1443741,11.04,240450,45.3,852,55946,303100,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,4446,2659,1.11,1.85,1,0,0
6001,2003,Alameda County,California,1443741,11.04,242131,45.3,852,55946,303100,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,4311,2620,1.08,1.78,1,0,0
6001,2004,Alameda County,California,1443741,11.04,243812,45.3,852,55946,303100,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,3798,2864,1.17,1.56,1,0,0
6001,2005,Alameda County,California,1457095,7.82,245492,43.99,1166,68863,606700,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3,0.54,3774,3177,1.29,1.54,1,0,0
6001,2006,Alameda County,California,1457095,7.82,247173,43.99,1166,68863,606700,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3,0.54,4050,3267,1.32,1.64,1,0,0
6001,2007,Alameda County,California,1457095,7.82,248854,43.99,1166,68863,606700,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3,0.54,4817,3597,1.45,1.94,1,0,0
6001,2008,Alameda County,California,1457095,7.82,250535,43.99,1166,68863,606700,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3,0.54,6002,4208,1.68,2.4,1,0,0
6001,2009,Alameda County,California,1457095,7.82,252215,43.99,1166,68863,606700,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3,0.54,5065,3707,1.47,2.01,1,0,0
6001,2010,Alameda County,California,1510271,8.36,253896,46.57,1265,71516,514900,31,34.07,12.19,22.51,0.28,25.86,0.79,4.03,0.28,4502,3127,1.23,1.77,1,0,0
6001,2011,Alameda County,California,1584983,8.51,257887,47.28,1367,75619,543100,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,3785,2948,1.14,1.47,1,0,0
6001,2012,Alameda County,California,1584983,8.51,261877,47.28,1367,75619,543100,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,3496,2651,1.01,1.33,1,0,0
6001,2013,Alameda County,California,1584983,8.51,265868,47.28,1367,75619,543100,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,3408,2468,0.93,1.28,1,0,0
6001,2014,Alameda County,California,1584983,8.51,269859,47.28,1367,75619,543100,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,2411,1824,0.68,0.89,1,0,0
6001,2015,Alameda County,California,1584983,8.51,273849,47.28,1367,75619,543100,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,2552,1768,0.65,0.93,1,0,0
6001,2016,Alameda County,California,1584983,8.51,277840,47.28,1367,75619,543100,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,2654,1640,0.59,0.96,1,0,0
6003,2000,Alpine County,California,1208,19.48,153,31.68,659,41875,184200,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,2,1,0.65,1.31,0,0,0
6003,2001,Alpine County,California,1208,19.48,152,31.68,659,41875,184200,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,2,1,0.66,1.32,0,0,0
6003,2002,Alpine County,California,1208,19.48,150,31.68,659,41875,184200,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,0,0,0,0,0,0,0
6003,2003,Alpine County,California,1208,19.48,149,31.68,659,41875,184200,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,1,1,0.67,0.67,0,0,0
6003,2004,Alpine County,California,1208,19.48,148,31.68,659,41875,184200,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,0,0,0,0,0,0,0
6003,2005,Alpine County,California,1153,5.66,147,33.33,820,54605,433300,31,70.95,0,2.34,20.9,2.52,0,3.3,0,0,0,0,0,0,0,0
6003,2006,Alpine County,California,1153,5.66,145,33.33,820,54605,433300,31,70.95,0,2.34,20.9,2.52,0,3.3,0,1,1,0.69,0.69,0,0,0
6003,2007,Alpine County,California,1153,5.66,144,33.33,820,54605,433300,31,70.95,0,2.34,20.9,2.52,0,3.3,0,0,0,0,0,0,0,0
